Number,Descriptor,Context,CharLimit,Text
00001,menu.main.new_game,Main Menu,15,新遊戲
00002,menu.main.resume_game,Main Menu,15,繼續遊戲
00003,menu.main.load_game,Main Menu,15,載入遊戲
00004,menu.main.settings,Main Menu,15,設定
00005,menu.main.tutorial,Main Menu,15,教學
00006,menu.main.patch_notes,Main Menu,15,更新日誌
00007,menu.main.credits,Main Menu,15,鳴謝
00008,difficulty.menu.difficulty_settings,Difficulty Menu,24,難度設定
00009,difficulty.menu.presents,Difficulty Menu,32,預設
00010,difficulty.menu.trading,Difficulty Menu,32,交易
00011,difficulty.menu.loot,Difficulty Menu,32,搜刮
00012,difficulty.menu.progression,Difficulty Menu,32,遊戲節奏
00013,difficulty.menu.enemies,Difficulty Menu,32,敵人
00014,difficulty.menu.hardcore,Difficulty Menu,32,硬核
00015,difficulty.menu.rookie,Difficulty Menu,32,新手
00016,loadout.name.survivor,Loadout name,20,倖存者
00017,difficulty.menu.hunter,Difficulty Menu,32,獵人
00018,difficulty.menu.sell_multiplier,Difficulty Menu,32,商品價格
00019,difficulty.menu.items_amount,Difficulty Menu,32,物品數量
00020,difficulty.menu.amount_of_single_item,Difficulty Menu,32,單項物品數量
00021,difficulty.menu.minimum_weapons_durability,Difficulty Menu,32,掉落武器耐久下限
00022,difficulty.menu.maximum_weapons_durability,Difficulty Menu,32,掉落武器耐久上限
00023,difficulty.menu.npcs_drop_armor,Difficulty Menu,32,掉落護甲
00024,difficulty.menu.npc_ammo_amount,Difficulty Menu,32,掉落彈藥數量
00025,difficulty.menu.character_health,Difficulty Menu,32,生命
00026,difficulty.menu.minimum_transportable_weight,Difficulty Menu,32,負重上限
00027,difficulty.menu.hunger_thirst_decay_rate,Difficulty Menu,32,飢餓/口渴消耗
00028,difficulty.menu.reputation_multiplier,Difficulty Menu,32,聲望
00029,difficulty.menu.skill_experience_multiplier,Difficulty Menu,32,技能經驗
00030,difficulty.menu.reputation_from_quests,Difficulty Menu,32,任務聲望報酬
